Host Id;Host Since;mes;aniomes;anio;Name;Neighbourhood;Property Type;Review Scores Rating (bin);Room Type;Zipcode;Beds;Number of Records;Number Of Reviews;Price;Review Scores Rating;AA;AB;AC;AD;AE;AF;AG;cant
11045090;05/01/2014;1;201401;2014;DESIGNER W71 2BR WITH RIVER VIEWS!;Manhattan;Condominium;;Entire home/apt;10069;2;1;0;595;;;;;;;;;1
11050098;05/01/2014;1;201401;2014;Private Grey Studio;Queens;House;90;Entire home/apt;11105;4;1;44;85;91;;;;;;;;1
11039369;05/01/2014;1;201401;2014;1 spacious bedroom in a 3 bed in BK;Brooklyn;Apartment;;Private room;11205;1;1;0;65;;;;;;;;;1
11028650;05/01/2014;1;201401;2014;Mid Sized Room - Heart of WLMBURG;Brooklyn;Apartment;;Private room;11211;1;1;0;70;;;;;;;;;1
11028773;05/01/2014;1;201401;2014;Brand new Condo Building;Brooklyn;Apartment;;Private room;11238;2;1;0;185;;;;;;;;;1
11038385;05/01/2014;1;201401;2014;HUGE room/ Williamsburg Waterfront!;Brooklyn;Apartment;95;Private room;11249;1;1;85;109;95;;;;;;;;1
11038385;05/01/2014;1;201401;2014;HUGE room/Williamsburg Waterfront!;Brooklyn;Apartment;95;Private room;11249;1;1;22;125;95;;;;;;;;1
11045893;05/01/2014;1;201401;2014;Beautiful Loft !;Brooklyn;Loft;90;Private room;11231;1;1;3;60;90;;;;;;;;1
11027949;05/01/2014;1;201401;2014;Last Minute Booking Available UES;Manhattan;Apartment;100;Private room;10075;1;1;2;115;100;;;;;;;;1
11050098;05/01/2014;1;201401;2014;ASTORIA-DITMARS HOUSE;Queens;House;95;Private room;11105;3;1;30;90;97;;;;;;;;1
11050098;05/01/2014;1;201401;2014;Cozy Private Red Room;Queens;House;90;Private room;11105;2;1;34;75;92;;;;;;;;1
11064660;06/01/2014;1;201401;2014;Bright and Spacious in BK Heights;Brooklyn;Apartment;100;Entire home/apt;11201;1;1;12;195;100;;;;;;;;1
11064999;06/01/2014;1;201401;2014;Amazing Brooklyn Heights 2BR+patio;Brooklyn;Apartment;;Entire home/apt;11201;2;1;0;250;;;;;;;;;1
11071989;06/01/2014;1;201401;2014;Williamsburg Lair;Brooklyn;Apartment;95;Entire home/apt;11211;1;1;20;129;98;;;;;;;;1
11081868;06/01/2014;1;201401;2014;HUGE 1BR w/yard steps to waterfront;Brooklyn;Apartment;;Entire home/apt;11231;1;1;1;110;;;;;;;;;1
